NULL,College of Central Florida,Public,2 Year,FL
NULL,College of Charleston,Public,4 Year,SC
NULL,College of Coastal Georgia,Public,4 Year,GA
NULL,College of Court Reporting,For Profit,2 Year,IN
NULL,College of DuPage,Public,2 Year,IL
NULL,College of Eastern Idaho,Public,2 Year,ID
NULL,College of Idaho,Private,4 Year,ID
NULL,College of Lake County,Public,2 Year,IL
NULL,College of Marin,Public,2 Year,CA
NULL,College of Menominee Nation,Private,2 Year,WI
NULL,College of Mount St. Vincent,Private,4 Year,NY
NULL,College of New Rochelle,Private,4 Year,NY
NULL,College of Saint Mary,Private,4 Year,NE
NULL,College of Saint Rose,Private,4 Year,NY
NULL,College of San Mateo,Public,2 Year,CA
NULL,College of Southern Idaho,Public,2 Year,ID
NULL,College of Southern Maryland,Public,2 Year,MD
NULL,College of Southern Nevada,Public,2 Year,NV
NULL,College of St. Benedict,Private,4 Year,MN
NULL,College of St. Elizabeth,Private,4 Year,NJ
NULL,College of St. Joseph in Vermont,Private,4 Year,VT
NULL,College of St. Scholastica,Private,4 Year,MN
NULL,College of the Albemarle,Public,2 Year,NC
NULL,College of the Atlantic,Private,4 Year,ME
NULL,College of the Canyons,Public,2 Year,CA
NULL,College of the Desert,Public,2 Year,CA
NULL,College of the Holy Cross,Private,4 Year,MA
NULL,College of the Mainland,Public,2 Year,TX
NULL,College of the Muscogee Nation,Public,2 Year,OK
NULL,College of the Ouachitas,Public,2 Year,AR
NULL,College of the Ozarks,Private,4 Year,MO
NULL,College of the Redwoods,Public,2 Year,CA
NULL,College of the Sequoias,Public,2 Year,CA
NULL,College of the Siskiyous,Public,2 Year,CA
NULL,College of Westchester,For Profit,2 Year,NY
NULL,College of Western Idaho,Public,2 Year,ID
NULL,College of William and Mary,Public,4 Year,VA
NULL,College of Wooster,Private,4 Year,OH
NULL,Collin County Community College District,Public,2 Year,TX
NULL,Colorado Christian University,Private,4 Year,CO
NULL,Colorado College,Private,4 Year,CO
NULL,Colorado Mesa University,Public,4 Year,CO
NULL,Colorado Mountain College,Public,2 Year,CO
NULL,Colorado Northwestern Community College,Public,2 Year,CO
NULL,Colorado School of Healing Arts,For Profit,2 Year,CO
NULL,Colorado School of Mines,Public,4 Year,CO
NULL,Colorado School of Trades,For Profit,2 Year,CO
